OBJECTID,ID,STATION,STATIONURL,STA_ID,SYSTEM,SYS_AGENCY,NTDID,LATITUDE,LONGITUDE,UA,UACODE,STATUS,SOURCE,SOURCEDATE,GRD_ELEV,ADDRESS,CITY,STATE,ZIP,STATIONSYS
4001,8143,SE Grand & Taylor,NOT AVAILABLE,11483,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.51503619,-122.6607665,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,SE GRAND & TAYLOR,PORTLAND,OR,97214,SE Grand & Taylor - TRIMET
4002,8144,SE Grand & Belmont,NOT AVAILABLE,11484,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.51667609,-122.6607454,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,NOT AVAILABLE,PORTLAND,OR,97214,SE Grand & Belmont - TRIMET
4003,8145,SE Grand & Stark,NOT AVAILABLE,13597,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.51953863,-122.6607365,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,SE GRAND & STARK,PORTLAND,OR,97214,SE Grand & Stark - TRIMET
4004,8146,SE Grand & Hawthorne,NOT AVAILABLE,13616,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.51282182,-122.6607679,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,NOT AVAILABLE,PORTLAND,OR,97214,SE Grand & Hawthorne - TRIMET
4005,8147,NE Grand & Broadway,NOT AVAILABLE,13617,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.5348246,-122.6606352,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,NE GRAND & BROADWAY,PORTLAND,OR,97232,NE Grand & Broadway - TRIMET
4006,8148,NE Broadway & 2nd (Streetcar),NOT AVAILABLE,13618,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.53505617,-122.6635883,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,NE BROADWAY & 2ND,PORTLAND,OR,97232,NE Broadway & 2nd (Streetcar) - TRIMET
4007,8149,NE Broadway & Ross (Streetcar),NOT AVAILABLE,13619,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.5344672,-122.6695489,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,N BROADWAY & ROSS,PORTLAND,OR,97227,NE Broadway & Ross (Streetcar) - TRIMET
4008,8150,NW 11th & Marshall,NOT AVAILABLE,13620,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.53089276,-122.6824464,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,NW 11TH & MARSHALL,PORTLAND,OR,97209,NW 11th & Marshall - TRIMET
4009,8151,SE Main St MAX Station,http://trimet.org/max/stations.htm,13124,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.514367,-122.564493,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,1119 SE 96TH AVE,PORTLAND,OR,97216,SE Main St MAX Station - TRIMET
4010,8152,SE Division St MAX Station,http://trimet.org/max/stations.htm,13125,TRIMET,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON,8,45.50315225,-122.5667075,"PORTLAND, OR-WA",24,OPEN,http://developer.trimet.org/GTFS.shtml,2015-11-22T00:00:00.000Z,GROUND,9402 SE DIVISION ST,PORTLAND,OR,97266,SE Division St MAX Station - TRIMET
