OBJECTID,RTE_ID_SYS,STA_ID,RTE_NAME,STATIONSYS,SYSTEM
6001,91 Line - Metrolink,145,91/Perris Valley Line,South Perris - Metrolink,Metrolink
6002,113B - RTD,34561,Union Station to Westminster Station,Westminster Station - RTD,RTD
6003,113B - RTD,25434,Union Station to Westminster Station,Union Station - RTD,RTD
6004,101H - RTD,23047,18th & California Station to Florida Station,18th & California Station - RTD,RTD
6005,101D - RTD,23047,30th & Downing Station to Littleton-Mineral Station,18th & California Station - RTD,RTD
6006,100340 - King County Metro,26693,South Lake Union Streetcar,Terry Ave N & Thomas St - King County Metro,King County Metro
6007,100479 - King County Metro,99603,LINK to Sea-Tac,Capitol Hill Link Station - King County Metro,King County Metro
6008,100479 - King County Metro,99604,LINK to Sea-Tac,UW / Husky Stadium Link Station - King County Metro,King County Metro
6009,100479 - King County Metro,99913,LINK to Sea-Tac,Angle Lake Link Station & S 200th St - King County Metro,King County Metro
6010,101H - RTD,34577,18th & California Station to Florida Station,Florida Station - RTD,RTD
6011,101H - RTD,34574,18th & California Station to Florida Station,Iliff Station - RTD,RTD
6012,101G - RTD,00003,Light Rail G Line,Wheat Ridge Ward - RTD,RTD
6013,101G - RTD,00004,Light Rail G Line,60th and Sheridan Arvada Gold Strike - RTD,RTD
6014,101G - RTD,00005,Light Rail G Line,Clear Creek Federal - RTD,RTD
6015,101G - RTD,00006,Light Rail G Line,Pecos Junction - RTD,RTD
6016,101G - RTD,00007,Light Rail G Line,41st and Fox - RTD,RTD
6017,101G - RTD,00008,Light Rail G Line,Arvada Ridge - RTD,RTD
6018,101G - RTD,00009,Light Rail G Line,Olde Town Arvada - RTD,RTD
6019,101G - RTD,25434,Light Rail G Line,Union Station - RTD,RTD
6020,101R - RTD,34574,Lincoln Station to Peoria Station,Iliff Station - RTD,RTD
6021,101R - RTD,34577,Lincoln Station to Peoria Station,Florida Station - RTD,RTD
6022,101R - RTD,34579,Lincoln Station to Peoria Station,Aurora Metro Center Station - RTD,RTD
6023,101R - RTD,34581,Lincoln Station to Peoria Station,2nd Avenue & Abilene Station - RTD,RTD
6024,101R - RTD,34583,Lincoln Station to Peoria Station,13th Avenue Station - RTD,RTD
6025,101R - RTD,34585,Lincoln Station to Peoria Station,Colfax Station - RTD,RTD
6026,101R - RTD,34587,Lincoln Station to Peoria Station,Fitzsimons Station - RTD,RTD
6027,101R - RTD,25973,Lincoln Station to Peoria Station,Lincoln Station - RTD,RTD
6028,101R - RTD,25983,Lincoln Station to Peoria Station,Orchard Station - RTD,RTD
6029,101R - RTD,25988,Lincoln Station to Peoria Station,County Line Station - RTD,RTD
6030,101R - RTD,25989,Lincoln Station to Peoria Station,Dry Creek Station - RTD,RTD
