StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q0,Q14,Q12,Q15,Q16,Q17,Q18,Q19,Q1,Q4,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q10,MTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Dear Participant, 

You are being asked to participate in a student class project. This project is being conducted by the students of Marquette University COSC 4500 Advanced Data Science.



The purpose of this project is to examine participants' interaction with different prototypes.



For this project, you will be asked to answer (5) questions about our web application and (10) demographic questions about yourself.



Participating in this project is completely voluntary. You may stop participating at any time. There are no direct benefits to you for participating but results from this study will provide information that may benefit the general population.

 

Your privacy is important to investigators of the study. If you decide to participate in this study, your name will not be recorded or used during the presentation of the results.

 

Any information collected for this project will only be used for class purposes. No information will be published, presented at conferences, or otherwise shared publicly. This project has not been approved by the Marquette University Institutional Review Board.



If you have any questions about this project please contact Liam Fruzyna at liam.fruzyna@marquette.edu, Reid Holben at reid.holben@marquette.edu, or Vidit Kalani at vidit.kalani@marquette.edu. 

 



By clicking the consent button, you acknowledge that you understand the scope of this student project and agree to participate.","Part 3:

	Select the state Florida (FL).
	Select the system “MDT” from the side bar.
	Select the route “14456 - MDT” from the side bar.
	Determine how many stations are in poorer areas and choose your answer below.","Press the “Get Code” button at the bottom of the side bar then copy and paste the code presented into the text box below.



Note: This is NOT your MTurk completion code. Please continue with the survey to receive your completion code.","Before today, did you know where the state Texas was on a map?","Before today, did you know where the state California was on a map?","Before today, did you know where the state Alaska was on a map?",How satisfied are you with the overall quality of our web app?,"Overall, how intuitive was our web app?",What gender do you identify as?,What is your age?,Do you consider yourself Hispanic or Latino?,"Regardless of your previous answer, how would you describe your ethnicity?",What is the highest education level you have completed?,What is your marital status?,What is your current employment status?,What is your total household income?,What is your dominant hand?,What US zip code do you live in? (Enter na if you do not live in the United States),MTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID11""}","{""ImportId"":""QID14""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID1""}","{""ImportId"":""QID4""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""MTurkCode""}"
2019-04-03 12:48:54,2019-04-03 12:50:39,Survey Preview,,100,104,True,2019-04-03 12:50:39,R_3Gv0YPyATXOQj2Y,,,,,43.0388946533203125,-87.90650177001953125,preview,EN,I consent,8,abcdefghijkl,Yes,Yes,Yes,Moderately satisfied,Very intuitive,Male,18 - 24,No,White,4 year degree,Never married,Student,"$10,000 - $19,999",,60005,81934698
2019-04-03 15:14:27,2019-04-03 15:14:32,Survey Preview,,100,5,True,2019-04-03 15:14:32,R_2xYmteVCJGyDVqe,,,,,43.0388946533203125,-87.90650177001953125,preview,EN,I do NOT consent,,,,,,,,,,,,,,,,,,
2019-04-03 16:05:56,2019-04-03 16:22:41,Survey Preview,,100,1004,True,2019-04-03 16:22:41,R_3n6JN8oBAO9S3L4,,,,,43.0388946533203125,-87.90650177001953125,preview,EN,I consent,8,4-1-2958-3791-2569-R,Yes,Yes,Yes,Moderately satisfied,Very intuitive,Male,18 - 24,No,White,4 year degree,Never married,Student,"$10,000 - $19,999",,60005,15385931
2019-04-11 10:51:44,2019-04-11 11:05:53,IP Address,157.50.13.161,100,849,True,2019-04-11 11:05:53,R_2fqTQxrkupFyDC7,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,I consent,0,26-10-32344-52089-190940-L,No,Yes,Yes,Moderately satisfied,Extremely intuitive,Male,25 - 34,Yes,Other,4 year degree,Never married,Employed full time,"Less than $10,000",Right,,6296945
2019-04-11 11:01:47,2019-04-11 11:10:34,IP Address,47.29.175.106,100,526,True,2019-04-11 11:10:34,R_3dG2CFSreXfZIwr,,,,,26.1833038330078125,91.733306884765625,anonymous,EN,I consent,2,0-5-23027-18533-15960-L,Yes,Yes,Yes,Extremely satisfied,Extremely intuitive,Male,25 - 34,No,Asian,4 year degree,Married,Employed part time,"$10,000 - $19,999",Right,na,303308
2019-04-11 10:58:08,2019-04-11 11:12:33,IP Address,68.196.44.17,100,865,True,2019-04-11 11:12:33,R_1Ftim0cY3TjJg8W,,,,,40.6179046630859375,-73.98560333251953125,anonymous,EN,I consent,2,11-6-16161-12928-390962-R,Yes,Yes,No,Moderately satisfied,Moderately intuitive,Female,18 - 24,No,Asian,4 year degree,Never married,Employed full time,"$90,000 - $99,999",Right,11214,30161721
2019-04-11 11:14:18,2019-04-11 11:16:12,IP Address,66.250.143.159,100,113,True,2019-04-11 11:16:12,R_2xFPg08H9vih4id,,,,,39.9597015380859375,-75.19950103759765625,anonymous,EN,I consent,2,10-1-18029-24590-23305-L,Yes,Yes,Yes,Extremely dissatisfied,Not intuitive at all,Prefer not to answer,55 - 64,No,White,4 year degree,Never married,Employed full time,"$50,000 - $59,999",Right,19104,34111477
2019-04-11 11:11:31,2019-04-11 11:19:44,IP Address,112.133.236.131,100,492,True,2019-04-11 11:19:44,R_2qsoulOOohC8iEX,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,I consent,2,1-2-21001-26968-21689-L,Yes,Yes,Yes,Extremely satisfied,Moderately intuitive,Male,25 - 34,No,White,4 year degree,Married,Employed full time,"$50,000 - $59,999",Right,98271,16334031
